masterid,year,northings,eastings,month1,year1,month2,year2,Deaths,Healthyfrogs,redspots.haemorrhaging,ulcers,limbbreakdown,Toads in pond,Newts in pond,Fish in pond,Other dead animals,No of other dead,Blobs of spawn,Sq feet of spawn,Urban(1)/Rural(0),Pond 1 length (m),Pond 1 width (m),Pond 1 depth (m),Pond 2 length (m),Pond 2 width (m),Pond 2 depth (m),Fishcare,slugpellets,Herbicide,Notes.1,Notes.2,Notes.3,Follow up report_Comments
62,1992,51.221,-0.2,7,1992,8,1992,10,15,F,F,F,No,Yes,No,NA,NA,3,NA,1,2.1,1.5,0.45,NA,NA,NA,No,No,No,Neighbour uses slug pellets, ,,
63,1992,52.987,-0.018,7,1992,NA,1992,1,5,F,F,F,No,Yes,No,NA,NA,NA,3,1,2.4,1.2,0.4,NA,NA,NA,No,No,No,, ,,
64,1992,51.371,0.558,7,1992,NA,1992,4,5,F,F,F,No,No,No,NA,NA,NA,NA,1,0.6,0.6,0.4,NA,NA,NA,No,No,No,"Sludge on water. Old sink, is not a spawning site.", ,,
65,1992,52.083,-4.275,2,1992,3,1992,6,5,F,F,F,Yes,No,No,NA,NA,3,NA,0,2.1,1.2,0.45,NA,NA,NA,No,No,No,Road fumes?, ,,"Larger amount of spawn this year, saw 5 healthy looking frogs."
66,1992,50.781,-0.712,2,1992,7,1992,3,5,T,F,F,No,Yes,No,NA,NA,3,NA,1,4.5,3,0.9,NA,NA,NA,No,Yes,No,"Next door has small pond - no spawn, no frog deaths. Has since moved away from this address.", ,,
67,1992,51.943,0.493,NA,1992,NA,1992,2,30,F,F,F,No,Yes,Yes,NA,NA,NA,NA,1,2.4,1.6,0.4,NA,NA,NA,No,No,No,No spawn for last 2 years. Live on edge of farmland., ,,
68,1992,51.278,-0.373,5,1992,9,1992,15,30,F,T,T,Yes,Yes,Yes,NA,NA,12,NA,1,2.4,0.9,0.6,NA,NA,NA,No,No,Yes,, ,,"Water now quite clean, plant and fauna seem to be thriving"
69,1992,51.652,-0.524,7,1992,NA,1992,2,15,F,F,T,Yes,No,Yes,NA,NA,3,NA,1,1.8,1.2,0.9,NA,NA,NA,No,No,No,Less spawn than '91. Only one died '91., ,,
70,1992,51.53,-1.796,6,1992,NA,1992,7,30,F,F,F,No,Yes,No,NA,NA,4,NA,1,1.8,1.2,0.45,NA,NA,NA,No,No,No,Only very few tadpoles developed., ,,"Spawn did not develop - pond cleaned out in May (spawn removed, then replaced). Rainwater used, not tapwater."
71,1992,51.623,-0.021,4,1992,9,1992,24,30,F,F,F,No,No,No,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,No,Yes,No,"No pond, neighbour has pond. Neighbours have not seen dead/dying frogs","Splayed on back, blood on mouth and neck, back legs paralysed ",,
